,Title,rating,year,Image
69,The Family Stone,6.3,(2005),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
70,Up,8.3,(2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
71,Pirates of the Caribbean: The Curse of the Black Pearl,8,(2003),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
72,10 Things I Hate About You,7.3,(1999),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
73,Freaky Friday,6.2,(2003),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
74,Hitman,6.3,(I) (2007),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
75,The Pyramid,4.6,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
76,Far from the Madding Crowd,7.1,(2015),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
77,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,(2005),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
78,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,(2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
79,Titanic,7.8,(1997),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
80,Pete's Dragon,6.7,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
81,High School Musical 3: Senior Year,4.7,(2008),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
82,Becoming Warren Buffett,7.6,(2017),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
83,Whitewash,5.8,(I) (2013),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
84,Thor,7,(2011),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
85,John Tucker Must Die,5.8,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
86,Kung Fu Panda 3,7.1,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
87,The Good Dinosaur,6.7,(2015),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
88,Remember the Titans,7.8,(2000),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
89,The Longest Ride,7.1,(2015),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
90,Zootropolis,8,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
91,Captain America: The First Avenger,6.9,(2011),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
92,Miss Peregrine's Home for Peculiar Children,6.7,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
93,Swelter,4.6,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
94,Independence Day,7,(1996),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
95,Another Earth,7,(2011),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
96,Percy Jackson: Sea of Monsters,5.8,(2013),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
97,Pearl Harbor,6.1,(2001),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
98,Waitress,7,(2007),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
99,Percy Jackson & the Lightning Thief,5.9,(2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
100,Avatar,7.8,(2009),"https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
101,Wreck-It Ralph,7.7,(2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
102,The Art of Getting By,6.6,(2011),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
103,Ever After: A Cinderella Story,7,(1998),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
104,The Chronicles of Narnia: Prince Caspian,6.5,(2008),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
105,Chicken Little,5.8,(2005),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
106,Queen of Katwe,7.4,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
107,Wild Hogs,5.9,(2007),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
108,Spielberg,7.7,(2017 TV Movie),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
109,Just Married,5.5,(2003),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
110,Night at the Museum: Secret of the Tomb,6.2,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
111,G-Force,5.1,(2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
112,The Shaggy Dog,4.4,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
113,Kingdom of Heaven,7.2,(2005),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
114,The Finest Hours,6.8,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
115,This Means War,6.3,(2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
116,Fantastic Four,4.3,(2015),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
117,A Christmas Carol,6.8,(2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
118,Exodus: Gods and Kings,6,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
119,The Secret Life of Walter Mitty,7.3,(2013),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
120,Pirates of the Caribbean: At World's End,7.1,(2007),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
121,Rio 2,6.3,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
122,The Martian,8,(2015),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
123,Ice Age: Continental Drift,6.6,(2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
124,The Book of Life,7.3,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
125,Dr. Cabbie,6.1,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
126,Eight Below,7.3,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
127,The Wolverine,6.7,(2013),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
128,X-Men: Days of Future Past,8,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
129,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
130,Cleopatra,7,(1963),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
131,Taken 3,6,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
132,Beauty and the Beast,8,(1991),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
133,Abraham Lincoln: Vampire Hunter,5.9,(2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
134,The Day the Earth Stood Still,5.5,(2008),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
135,Pirates of the Caribbean: Dead Man's Chest,7.3,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
136,Bolt,6.9,(2008),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
137,Morgan,5.8,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
138,Finding Nemo,8.1,(2003),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
139,In Her Shoes,6.5,(2005),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
140,Wall Street: Money Never Sleeps,6.2,(2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
141,The Heat,6.6,(I) (2013),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
142,One in the Chamber,5.2,(2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
143,Taken 2,6.3,(2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
144,X-Men 2,7.5,(2003),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
145,Fantastic Four,5.7,(I) (2005),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
146,The Seeker: The Dark Is Rising,4.8,(2007),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
147,X-Men: The Last Stand,6.7,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
148,The Jungle Book,7.4,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
149,Pirates of the Caribbean: On Stranger Tides,6.6,(2011),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
150,The Maze Runner,6.8,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
151,Rio,6.9,(2011),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
152,Unstoppable,6.8,(2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
153,500 Days of Summer,7.7,(2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
154,Belle,7.4,(2013),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
155,Never Been Kissed,6,(1999),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
156,Brave,7.1,(2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
157,The Wild,5.3,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
158,Dead Poets Society,8.1,(1989),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
159,X-Men,7.4,(2000),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
160,Aladdin,8,(1992),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
161,127 Hours,7.6,(2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
162,Animal Kingdom,7.3,(2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
163,Prince of Persia: The Sands of Time,6.6,(2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
164,There's Something About Mary,7.1,(1998),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
165,Les Chansons d'Amour,7.2,(2007),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
166,X-Men Origins: Wolverine,6.6,(2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
167,Life of Pi,7.9,(2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
168,"I Love You, Beth Cooper",5.3,(2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
169,The Santa Clause 3: The Escape Clause,4.7,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
170,WALL·E,8.4,(2008),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
171,Ice Age: Dawn of the Dinosaurs,7,(2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
172,Swiss Army Man,7,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
173,Dawn of the Planet of the Apes,7.6,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
174,The Day After Tomorrow,6.4,(2004),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
175,Devil's Due,4.1,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
176,The A-Team,6.8,(2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
177,Let's Be Cops,6.4,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
178,Trance,6.9,(I) (2013),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
179,A Walk in the Clouds,6.7,(1995),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
180,The Lion King,8.5,(1994),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
181,Aquamarine,5.4,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
182,Wall Street,7.4,(1987),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
183,The Emperor's New Groove,7.3,(2000),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
184,The Big Year,6.2,(2011),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
185,Home Alone,7.5,(1990),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
186,Epic,6.7,(2013),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
187,Spy,7,(2015),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
188,Miss March,5,(2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
189,King Arthur,6.3,(2004),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
190,Winnie the Pooh,7.2,(2011),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
191,Paper Towns,6.3,(2015),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
192,Victor Frankenstein,6,(2015),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
193,Prometheus,7,(I) (2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
194,Gulliver's Travels,4.9,(2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
195,Alice in Wonderland,6.5,(I) (2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
196,The Drop,7.1,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
197,1:1.6 An Ode to Lost Love,6.2,(2004),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
198,How to Train Your Dragon 2,7.8,(2014),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
199,Alice Through the Looking Glass,6.2,(2016),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
200,Gnomeo & Juliet,6,(2011),"https://m.media-amazon.com/images/M/MV5BMjAyNDM2MDA2NF5BMl5BanBnXkFtZTcwOTMxMDAxNA@@._V1_UY209_CR0,0,140,209_AL_.jpg"
201,Ratatouille,8,(2007),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
202,Die Hard 4.0,7.1,(2007),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
203,Tooth Fairy,5,(I) (2010),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
204,Home on the Range,5.4,(2004),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
205,Babylon A.D.,5.6,(2008),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
206,High Fidelity,7.5,(2000),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
207,The Watch,5.7,(I) (2012),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
208,Night at the Museum 2,6,(2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
209,Adam,7.2,(I) (2009),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
210,Max Payne,5.4,(2008),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
211,Night at the Museum,6.4,(2006),https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png
